Word,Concreteness,Brysbaert,Muraki,Glasgow,MRC
academically,1.9,1.9,,,
academy,4.29,4.29,,,499
academy award,4.4,,4.4,,
academy awards,3.9,,3.9,,
accelerant,3.4,3.4,,,
accelerate,3.48,3.48,,4.5,
accelerate off,2.46,,2.46,,
accelerated,3.18,3.18,,,
accelerated graphics port,3.3,,3.3,,
acceleration,2.97,2.97,,,358
acceleration principle,2.07,,2.07,,
accelerative,2.69,2.69,,,
accelerator,4.32,4.32,,,
accelerator board,3.6,,3.6,,
accelerator card,4.0,,4.0,,
accelerator pedal,4.2,,4.2,,
acceleratory,2.25,2.25,,,
accelerometer,4.08,4.08,,,
accent,3.26,3.26,,3.6,
accent mark,3.2,,3.2,,
accent pillow,4.6,,4.6,,
accentually,2.08,2.08,,,
accentuate,2.0,2.0,,,
accentuation,2.08,2.08,,,
accept,3.03,3.03,,3.313,
acceptability,1.74,1.74,,,
acceptable,1.93,1.93,,,
acceptableness,1.28,1.28,,,
acceptably,1.48,1.48,,,
acceptance,2.21,2.21,,2.794,
acceptant,2.08,2.08,,,
accepted,2.28,2.28,,,
acceptor,2.79,2.79,,,
access,2.71,2.71,,3.455,
access code,4.0,,4.0,,
access control list,3.5,,3.5,,
access course,2.82,,2.82,,
access number,4.1,,4.1,,
access panel,4.63,,4.63,,
access profile,3.0,,3.0,,
access provider,2.8,,2.8,,
access road,4.6,,4.6,,
access route,3.55,,3.55,,
access time,2.0,,2.0,,
accessibility,2.3,2.3,,,
accessible,1.8,1.8,,,
accessibly,2.35,2.35,,,
accessorize,2.93,2.93,,,
accessory,4.1,4.1,,,
accessory after the fact,2.6,,2.6,,
accessory before the fact,2.18,,2.18,,
accessory fruit,3.6,,3.6,,
accessory nerve,3.9,,3.9,,
accident,3.26,3.26,,4.343,419
accident and emergency,3.3,,3.3,,
accident of birth,2.0,,2.0,,
accident prone,2.41,,2.41,,
accident surgery,2.8,,2.8,,
accident waiting to happen,2.36,,2.36,,
accident-prone,2.4,,2.4,,
accidental,2.17,2.17,,2.941,
accidental death,3.2,,3.2,,
accidental injury,3.0,,3.0,,
accidentally,1.71,1.71,,,
accidentally on purpose,1.7,,1.7,,
accidently,1.88,1.88,,,
accidents will happen,2.6,,2.6,,
acclaim,2.04,2.04,,,
acclaimer,2.04,2.04,,,
acclamation,2.23,2.23,,,
acclimate,1.79,1.79,,,
acclimation,1.9,1.9,,,
acclimatization,1.83,1.83,,,
acclimatize,2.12,2.12,,,
accolade,2.46,2.46,,,
accommodate,1.86,1.86,,,
accommodating,1.77,1.77,,,
accommodatingly,2.17,2.17,,,
accommodation,2.96,2.96,,,464
